"","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Lowest_Common_Taxon_Name","Lowest_Common_Taxon_lvl","...8","...9","...10","Scientific_Name","Lowest_Taxonomic_Resolution","Habitat","Habitat_2","Trophic_Level","Trophic_Category","Trophic_Category_2","Diet","Diet_Source","Diet_Source_2","Mean_Harvest_Time","SD_Harvest_Time","HT_Source","X"
"59","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Seabirds and Loon Eggs","Seabirds and Loon Eggs","Seabirds and Loon Eggs","Taxa_lvl3",NA,NA,"using most common trophic position of species within group","Seabird and Loon Eggs","NTG","Terrestrial",NA,2.5,"Omnivore (pp/pc)","Omnivore","based on most common and then more conservative (ie lower tp) of species in database within group",NA,NA,NA,NA,NA,NA
"60","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Tern Eggs","Tern Eggs","Seabirds and Loon Eggs","Taxa_lvl3",NA,NA,"3 species found in AK Arctic tern (Sterna paradisaea); Aleutian tern (Onychoprion aleutica) and Caspian tern (S. caspia)","Sterninae","Subfamily","Terrestrial","Marine",3,"Secondary Consumer","Predator","fish, insects, and small invertebrates","Terns: Wildlife Notebook Series - Alaska Department of Fish and Game",NA,NA,NA,NA,147
"61","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Unknown Gull Eggs","Unknown Gull Eggs","Seabirds and Loon Eggs","Taxa_lvl3",NA,NA,"3 large gull sp. Found in Alaska: glaucous-winged gull (Larus glaucescens), glaucus gull (L. hyperboreus), and herring gull (L. argentatus).","Larus","Genus","Terrestrial","Marine",2.5,"Omnivore (pp/pc)","Omnivore","based on diet of 3 gull species in alaska","Audobon field guide",NA,NA,NA,NA,NA
"62","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Unknown Loon Eggs","Unknown Loon Eggs","Seabirds and Loon Eggs","Taxa_lvl3",NA,NA,"3 species found in AK Arctic tern (Sterna paradisaea); Aleutian tern (Onychoprion aleutica) and Caspian tern (S. caspia)","Sterninae","Subfamily","Terrestrial","Marine",3,"Secondary Consumer","Predator","fish, insects, and small invertebrates","Terns: Wildlife Notebook Series - Alaska Department of Fish and Game",NA,NA,NA,NA,NA
"63","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Unknown Seabird Eggs","Unknown Seabird Eggs","Seabirds and Loon Eggs","Taxa_lvl3",NA,NA,"using most common trophic position of species within group, in this case 3 of each, so being conservative and taking 2.5 (omnivore)","Seabird Eggs","NTG","Terrestrial",NA,2.5,"Omnivore (pp/pc)","Omnivore","based on most common and then more conservative (ie lower tp) of species in database within group",NA,NA,NA,NA,NA,210
"64","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Unknown Tern Eggs","Unknown Tern Eggs","Seabirds and Loon Eggs","Taxa_lvl3",NA,NA,"3 species found in AK Arctic tern (Sterna paradisaea); Aleutian tern (Onychoprion aleutica) and Caspian tern (S. caspia)","Sterninae","Subfamily","Terrestrial","Marine",3,"Secondary Consumer","Predator","fish, insects, and small invertebrates","Terns: Wildlife Notebook Series - Alaska Department of Fish and Game",NA,NA,NA,NA,209
"65","Birds and Eggs","Migratory Birds","Seabirds and Loons","Cormorants","Cormorants","Seabirds and Loons","Taxa_lvl3",NA,NA,"double-crested, red-faced and pelagic cormorants only ones in alaska","Phalacrocoracidae","Family","Terrestrial","Marine/freshwater",2.5,"Omnivore (pp/pc)","Omnivore","mostly fish, some crustaceans/mollusks, 2 species sometimes eat algae/aquatic plants","based on diet of the 3 cormorant species, Audoban field guide",NA,NA,NA,NA,139
"66","Birds and Eggs","Migratory Birds","Seabirds and Loons","Grebe","Grebe","Seabirds and Loons","Taxa_lvl3",NA,NA,NA,"Podicipedidae","Family","Terrestrial","Freshwater/marine",2.5,"Omnivore (pp/pc)","Omnivore","based on other 2 grebe species",NA,NA,NA,NA,NA,NA
"67","Birds and Eggs","Migratory Birds","Seabirds and Loons","Guillemot","Guillemot","Seabirds and Loons","Taxa_lvl3",NA,NA,"likely black or pigeon guillemot,  this is lowest level in the database","Cepphus","Genus","Terrestrial","Marine",3,"Secondary Consumer","Predator","fish and other marine life. Diet varies with season and location. Eats mostly small fish, also shrimps, crabs, polychaete worms, mollusks, small octopus (pigeon guillemot); Fish in diet (mainly those living near bottom in shallow waters) include butterfish, blennies, sculpins, gobies, sand lance, cod, many others. Crustaceans include crabs, shrimps, mysids, amphipods, copepods, isopods. Also eats some mollusks, insects, marine worms, bits of plant material (Black guillemot","https://www.audubon.org/field-guide/bird/pigeon-guillemot",NA,NA,NA,NA,NA
"68","Birds and Eggs","Migratory Birds","Seabirds and Loons","Gull","Gull","Seabirds and Loons","Taxa_lvl3",NA,NA,"3 large gull sp. Found in Alaska: glaucous-winged gull (Larus glaucescens), glaucus gull (L. hyperboreus), and herring gull (L. argentatus).","Larus","Genus","Terrestrial","Marine",2.5,"Omnivore (pp/pc)","Omnivore","based on diet of 3 gull species in alaska","Audobon field guide",NA,NA,NA,NA,140
"69","Birds and Eggs","Migratory Birds","Seabirds and Loons","Grebe","Horned Grebe","Seabirds and Loons","Taxa_lvl3",NA,NA,NA,"Podiceps auritus","Species","Terrestrial","Freshwater/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","Mostly insects, crustaceans, fish. Diet varies with habitat and season. In summer may eat mainly insects and crustaceans, also some fish, tadpoles, leeches, salamanders, small amounts of plant material. May eat mostly fish in winter, also crustaceans, mollusks, insects. Like other grebes, also swallows many feathers.","Horned Grebe | Audubon Field Guide",NA,NA,NA,NA,NA
"70","Birds and Eggs","Migratory Birds","Seabirds and Loons","Loon","Loon","Seabirds and Loons","Taxa_lvl3",NA,NA,"5 species on loon found in AK","Gavia","Genus","Terrestrial","Freshwater/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","Loons feed on small fish but are also known to eat aquatic vegetation, insects, mollusks, and frogs","Loons in Alaska",NA,NA,NA,NA,191
"71","Birds and Eggs","Migratory Birds","Seabirds and Loons","Puffin","Puffin","Seabirds and Loons","Taxa_lvl3",NA,NA,"2 species of puffin in alaska: horned puffin (Fratercula corniculata) and tufted puffin (Fratercula cirrhata)","Fratercula","Genus","Terrestrial","Marine",3,"Secondary Consumer","Predator","mostly fish. Favors small fish, especially sand lance and capelin, also sticklebacks, smelt, and others. Food brought to young almost entirely fish. Adults also eat many squid, marine worms, and crustaceans (horned puffin); Mostly fish. Feeds mainly on small fish, especially sand lance and capelin; also small squid, and miscellaneous fish such as saury, rockfish, smelt. Reported to eat some crustaceans, mollusks, sea urchins, small amounts of algae (tufted puffin)",NA,NA,"Audobon field guide",NA,NA,142
"72","Birds and Eggs","Migratory Birds","Seabirds and Loons","Grebe","Red Necked Grebe","Seabirds and Loons","Taxa_lvl3",NA,NA,NA,"Podiceps grisegena","Species","Terrestrial","Freshwater/marine",2.5,"Omnivore (pp/pc)","Omnivore","Mostly insects and fish. Diet varies with season. May feed mainly on small fish in winter on coastal waters; in summer on marshes and ponds, feeds mainly on insects. Also eats crustaceans, mollusks, tadpoles, nereid worms, very small amounts of plant matter. Like other grebes, may eat feathers","Red-necked Grebe | Audubon Field Guide",NA,NA,NA,NA,NA
"73","Birds and Eggs","Migratory Birds","Seabirds and Loons","Seabirds and Loons","Seabirds and Loons","Seabirds and Loons","Taxa_lvl3",NA,NA,"using most common trophic position of species within group","Seabirds and Loons","NTG","Terrestrial",NA,2.5,"Omnivore (pp/pc)","Omnivore","based on most common and then more conservative (ie lower tp) of species in database within group",NA,NA,NA,NA,NA,NA
"74","Birds and Eggs","Migratory Birds","Seabirds and Loons","Tern","Tern","Seabirds and Loons","Taxa_lvl3",NA,NA,NA,"Sterninae","Subfamily","Terrestrial","Marine",3,"Secondary Consumer","Predator","fish, insects, and small invertebrates","Terns: Wildlife Notebook Series - Alaska Department of Fish and Game",NA,NA,NA,NA,NA
"75","Birds and Eggs","Migratory Birds","Seabirds and Loons","Grebe","Unknown Grebe","Seabirds and Loons","Taxa_lvl3",NA,NA,NA,"Podicipedidae","Family","Terrestrial","Freshwater/marine",2.5,"Omnivore (pp/pc)","Omnivore","based on other 2 grebe species",NA,NA,NA,NA,NA,NA
"76","Birds and Eggs","Migratory Birds","Seabirds and Loons","Loon","Unknown Loon","Seabirds and Loons","Taxa_lvl3",NA,NA,"5 species on loon found in AK","Gavia","Genus","Terrestrial","Freshwater/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","Loons feed on small fish but are also known to eat aquatic vegetation, insects, mollusks, and frogs","Loons in Alaska",NA,NA,NA,NA,192
"77","Birds and Eggs","Migratory Birds","Seabirds and Loons","Puffin","Unknown Puffin","Seabirds and Loons","Taxa_lvl3",NA,NA,"2 species of puffin in alaska: horned puffin (Fratercula corniculata) and tufted puffin (Fratercula cirrhata)","Fratercula","Genus","Terrestrial","Marine",3,"Secondary Consumer","Predator","mostly fish. Favors small fish, especially sand lance and capelin, also sticklebacks, smelt, and others. Food brought to young almost entirely fish. Adults also eat many squid, marine worms, and crustaceans (horned puffin); Mostly fish. Feeds mainly on small fish, especially sand lance and capelin; also small squid, and miscellaneous fish such as saury, rockfish, smelt. Reported to eat some crustaceans, mollusks, sea urchins, small amounts of algae (tufted puffin)",NA,NA,"Audobon field guide",NA,NA,197
"78","Birds and Eggs","Migratory Birds","Seabirds and Loons","Unknown Seabirds","Unknown Seabird","Seabirds and Loons","Taxa_lvl3",NA,NA,NA,"Seabird","NTG","Terrestrial",NA,2.5,"Omnivore (pp/pc)","Omnivore","based on most common and then more conservative (ie lower tp) of species in database within group",NA,NA,NA,NA,NA,198
"79","Birds and Eggs","Migratory Birds","Shorebird","Black Oystercatcher","Black Oystercatcher","Black Oystercatcher","Taxa_lvl5",NA,NA,NA,"Haematopus bachmani","Species","Terrestrial","Marine/nearshore",3,"Secondary Consumer","Predator","Mostly mussels, limpets, other shellfish. Diet varies with place and season, but feeds mostly on mussels where they are abundant; also limpets, whelks, urchins, crabs, marine worms, beetle larvae.","Black Oystercatcher | Audubon Field Guide",NA,NA,NA,NA,NA
"80","Birds and Eggs","Migratory Birds","Shorebird","Unknown Shorebirds","Unknown Large Shorebirds","Unknown Large Shorebirds","Taxa_lvl5",NA,NA,NA,"Charadriiformes","Order","Terrestrial","Freshwater/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","of the two species in dataset (black oyster catcher and wilsons snipe, although no black oystercatcher were harvested in SE alaska), are secondary consumer and omnivore. But since wilsons snipe only species harvested, going with trophic info for wilsons snipe",NA,NA,NA,NA,NA,NA
"81","Birds and Eggs","Migratory Birds","Shorebird","Unknown Shorebirds","Unknown Shorebirds","Unknown Shorebirds","Taxa_lvl5",NA,NA,NA,"Charadriiformes","Order","Terrestrial","Freshwater/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","of the two species in dataset (black oyster catcher and wilsons snipe, although no black oystercatcher were harvested in SE alaska), are secondary consumer and omnivore. But since wilsons snipe only species harvested, going with trophic info for wilsons snipe",NA,NA,NA,NA,NA,NA
"82","Birds and Eggs","Migratory Birds","Shorebird","Unknown Shorebirds","Unknown Small Shorebirds","Unknown Small Shorebirds","Taxa_lvl5",NA,NA,NA,"Charadriiformes","Order","Terrestrial","Freshwater/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","of the two species in dataset (black oyster catcher and wilsons snipe, although no black oystercatcher were harvested in SE alaska), are secondary consumer and omnivore. But since wilsons snipe only species harvested, going with trophic info for wilsons snipe",NA,NA,NA,NA,NA,NA
"83","Birds and Eggs","Migratory Birds","Shorebird","Wilson's Snipe","Wilson's Snipe","Wilson's Snipe","Taxa_lvl5",NA,NA,NA,"Gallinago delicata","Species","Terrestrial","Freshwater/terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","Mostly insects and earthworms. Eats many insects that burrow in damp soil or live in shallow water, such as larvae of crane flies, horse flies, various beetles, many others. At some places, diet includes many earthworms. Also eats some leeches, crustaceans, mollusks, spiders, frogs, leaves, seeds",NA,NA,NA,NA,NA,185
"84","Birds and Eggs","Bird Eggs","Shorebird Eggs","Black Oystercatcher Eggs","Black Oystercatcher Eggs","Black Oystercatcher Eggs","Taxa_lvl5",NA,NA,NA,"Haematopus bachmani","Species","Terrestrial","Marine/nearshore",3,"Secondary Consumer","Predator","Mostly mussels, limpets, other shellfish. Diet varies with place and season, but feeds mostly on mussels where they are abundant; also limpets, whelks, urchins, crabs, marine worms, beetle larvae.","Black Oystercatcher | Audubon Field Guide",NA,NA,NA,NA,205
"85","Birds and Eggs","Bird Eggs","Shorebird Eggs","Unknown Large Shorebird Eggs","Unknown Large Shorebird Eggs","Unknown Large Shorebird Eggs","Taxa_lvl5",NA,NA,NA,"Charadriiformes","Order","Terrestrial","Freshwater/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","of the two species in dataset (black oyster catcher and wilsons snipe, although no black oystercatcher were harvested in SE alaska), are secondary consumer and omnivore. But since wilsons snipe only species harvested, going with trophic info for wilsons snipe",NA,NA,NA,NA,NA,NA
"86","Birds and Eggs","Bird Eggs","Shorebird Eggs","Unknown Small Shorebird Eggs","Unknown Small Shorebird Eggs","Unknown Small Shorebird Eggs","Taxa_lvl5",NA,NA,NA,"Charadriiformes","Order","Terrestrial","Freshwater/marine-nearshore",2.5,"Omnivore (pp/pc)","Omnivore","of the two species in dataset (black oyster catcher and wilsons snipe, although no black oystercatcher were harvested in SE alaska), are secondary consumer and omnivore. But since wilsons snipe only species harvested, going with trophic info for wilsons snipe",NA,NA,NA,NA,NA,NA
"87","Birds and Eggs","Migratory Birds","Swan","Swan","Swan","Swan","Taxa_lvl3",NA,NA,"tundra and trumpeter swans in AK","Cygnus","Genus","Terrestrial","Freshwater/estuaries/terrestrial",2,"Primary Consumer","Herbivore","based on that tundra swan and trumpeter swan are predominantly plant feeders as adults",NA,NA,NA,NA,NA,NA
"88","Birds and Eggs","Migratory Birds","Swan","Tundra Swan (whistling)","Tundra Swan (whistling)","Swan","Taxa_lvl3",NA,NA,NA,"Cygnus columbianus","Species","Terrestrial","Freshwater/estuaries/terrestrial",2,"Primary Consumer","Herbivore","seeds and other plant material. Summer diet mainly stems, seeds, and roots of aquatic plants, including sedges, pondweeds, arrowleaf, algae, and others; also a few small invertebrates. At other seasons, eats much grain in harvested fields of corn, barley, and soybean","Tundra Swan | Audubon Field Guide",NA,NA,NA,NA,183
"89","Birds and Eggs","Migratory Birds","Swan","Unknown Swan","Unknown Swan","Swan","Taxa_lvl3",NA,NA,"tundra and trumpeter swans in AK","Cygnus","Genus","Terrestrial","Freshwater/estuaries/terrestrial",2,"Primary Consumer","Herbivore","based on that tundra swan and trumpeter swan are predominantly plant feeders as adults",NA,NA,NA,NA,NA,NA
"90","Birds and Eggs","Bird Eggs","Swan Eggs","Swan Eggs","Swan Eggs","Swan Eggs","Taxa_lvl5",NA,NA,"tundra and trumpeter swans in AK","Cygnus","Genus","Terrestrial","Freshwater/estuaries/terrestrial",2,"Primary Consumer","Herbivore","based on that tundra swan and trumpeter swan are predominantly plant feeders as adults",NA,NA,NA,NA,NA,NA
"91","Birds and Eggs","Bird Eggs","Swan Eggs","Unknown Swan Eggs","Unknown Swan Eggs","Swan Eggs","Taxa_lvl5",NA,NA,"tundra and trumpeter swans in AK","Cygnus","Genus","Terrestrial","Freshwater/estuaries/terrestrial",2,"Primary Consumer","Herbivore","based on that tundra swan and trumpeter swan are predominantly plant feeders as adults",NA,NA,NA,NA,NA,NA
"92","Birds and Eggs","Bird Eggs","Unknown Eggs","Unknown Eggs","Unknown Eggs","Unknown Eggs","Taxa_lvl3",NA,NA,NA,"Eggs","NTG","Terrestrial",NA,2.5,"Omnivore (pp/pc)","Omnivore","based on most common and then more conservative (ie lower tp) of species in database within group",NA,NA,NA,NA,NA,128
"93","Birds and Eggs","Other Birds","Unknown Other Birds","Unknown Other Birds","Unknown Other Birds","Unknown Other Birds","Taxa_lvl5",NA,NA,NA,"Other Birds","NTG","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","all ""other birds"" are upland game birds, which are all omnivores, so going with that level",NA,NA,NA,NA,NA,129
"94","Birds and Eggs","Bird Eggs","Upland Game Bird Eggs","Grouse Eggs","Grouse Eggs","Upland Game Bird Eggs","Taxa_lvl3",NA,NA,NA,"Phasianidae","Family","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","based on 2 other grouse species in dataset",NA,NA,NA,NA,NA,NA
"95","Birds and Eggs","Bird Eggs","Upland Game Bird Eggs","Ptarmigan Eggs","Ptarmigan Eggs","Upland Game Bird Eggs","Taxa_lvl3",NA,NA,NA,"Lagopus","Genus","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","based on diet of 2 ptarmigan species",NA,NA,NA,NA,NA,NA
"96","Birds and Eggs","Bird Eggs","Upland Game Bird Eggs","Unknown Ptarmigan Eggs","Unknown Ptarmigan Eggs","Upland Game Bird Eggs","Taxa_lvl3",NA,NA,NA,"Lagopus","Genus","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","based on diet of 2 ptarmigan species",NA,NA,NA,NA,NA,NA
"97","Birds and Eggs","Bird Eggs","Upland Game Bird Eggs","Upland Game Bird Eggs","Upland Game Bird Eggs","Upland Game Bird Eggs","Taxa_lvl3",NA,NA,"all upland game birds in database at least have the same trophic position, so I think okay to classify trophic position","Upland Game Bird Eggs","NTG","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","all the other upland bird species are omnivores, so likely category",NA,NA,NA,NA,NA,NA
"98","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Grouse","Upland Game Birds","Taxa_lvl3","Only 1987 and 1985 surveys have only to this degree, others more detailed",NA,NA,"Phasianidae","Family","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","based on 2 other grouse species in dataset",NA,NA,NA,NA,NA,143
"99","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","Ptarmigan","Upland Game Birds","Taxa_lvl3","Only 1987 and 1985 surveys have only to this degree, others more detailed",NA,NA,"Lagopus","Genus","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","based on diet of 2 ptarmigan species",NA,NA,NA,NA,NA,144
"100","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","Rock Ptarmigan","Upland Game Birds","Taxa_lvl3","Only 1987 and 1985 surveys have only to this degree, others more detailed",NA,NA,"Lagopus muta","Species","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","Mostly buds, leaves, and seeds. Adults are almost entirely vegetarian, feeding on buds, catkins, leaves, flowers, berries, and seeds. Major food sources include willow, dwarf birch, alder, saxifrage, crowberry. Also eats some insects, spiders, snails; young chicks feed on these items heavily at first. Regularly swallows grit to help with digesting rough plant material","Rock Ptarmigan | Audubon Field Guide",NA,NA,NA,NA,NA
"101","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Ruffed Grouse","Upland Game Birds","Taxa_lvl3","Only 1987 and 1985 surveys have only to this degree, others more detailed",NA,NA,"Bonasa umbellus","Species","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","seeds, buds, fruits, berries, acrons, twigs, some insects","Ruffed Grouse Fact Sheet",NA,NA,NA,NA,213
"102","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Spruce Grouse","Upland Game Birds","Taxa_lvl3","Only 1987 and 1985 surveys have only to this degree, others more detailed",NA,NA,"Falcipennis canadensis","Species","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","Mostly conifer needles. Adults are mostly vegetarian, feeding heavily on needles of pines, spruce, other conifers. Diet may be almost entirely conifer needles in winter. At other times also eats fresh green shoots and leaves of other plants, berries, flowers, insects, snails, and fungi. Very young birds may eat more insects","Spruce Grouse | Audubon Field Guide",NA,NA,NA,NA,200
"103","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Unknown Grouse","Upland Game Birds","Taxa_lvl3","Only 1987 and 1985 surveys have only to this degree, others more detailed",NA,NA,"Phasianidae","Family","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","based on 2 other grouse species in dataset",NA,NA,NA,NA,NA,201
"104","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","Unknown Ptarmigan","Upland Game Birds","Taxa_lvl3","Only 1987 and 1985 surveys have only to this degree, others more detailed",NA,NA,"Lagopus","Genus","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","based on diet of 2 ptarmigan species",NA,NA,NA,NA,NA,202
"105","Birds and Eggs","Other Birds","Upland Game Birds","Unknown Upland Game Birds","Unknown Upland Game Birds","Upland Game Birds","Taxa_lvl3","Only 1987 and 1985 surveys have only to this degree, others more detailed",NA,"all upland game birds in database at least have the same trophic position, so I think okay to classify trophic position","Upland Game Birds","NTG","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","all the other upland bird species are omnivores, so likely category",NA,NA,NA,NA,NA,NA
"106","Birds and Eggs","Other Birds","Upland Game Birds","Upland Game Birds","Upland Game Birds","Upland Game Birds","Taxa_lvl3","Only 1987 and 1985 surveys have only to this degree, others more detailed",NA,"all upland game birds in database at least have the same trophic position, so I think okay to classify trophic position","Upland Game Birds","NTG","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","all the other upland bird species are omnivores, so likely category",NA,NA,NA,NA,NA,NA
"107","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","Willow Ptarmigan","Upland Game Birds","Taxa_lvl3","Only 1987 and 1985 surveys have only to this degree, others more detailed",NA,NA,"Lagopus lagopus","Species","Terrestrial","Terrestrial",2.5,"Omnivore (pp/pc)","Omnivore","Mostly buds, twigs, leaves, and seeds. Adult almost entirely vegetarian, feeding heavily on willow, alder, birch, and other plants, eating the buds, leaves, and twigs. Also eats many berries, such as crowberry and blueberry, and eats some insects. Regularly swallows grit to help with digesting rough plant material. Young chicks feed mostly on insects and spiders at first, soon beginning to eat more plant matter","Willow Ptarmigan | Audubon Field Guide",NA,NA,NA,NA,NA
"108","Fish","Non-Salmon Fish","Bass","Bass","Sea Bass","Rockfish","Taxa_lvl5",NA,"black rockfish (confirmed w/ lauren)","Rockfish: Wildlife Notebook Series - Alaska Department of Fish and Game","Sebastes melonops","Species","Marine","Marine",3.5,"Omnivore (pc/sc)","Predator","Black rockfish are an opportunistic predatory fish that typically feed in the water column on zooplankton, Dungeness crab larvae (Cancer magister/ syn. Metacarcinus magister), and fish species, such as herring (Clupea harengus), sand lance (Ammodytes hexapterus), and Puget Sound rockfish (Sebastes. empheaus). However, they may also feed on benthic species such as crustaceans and octopi.","Black Rockfish Species Profile, Alaska Department of Fish and Game",NA,NA,NA,NA,24
"109","Fish","Non-Salmon Fish","Bass","Bass","Unknown Bass","Rockfish","Taxa_lvl5",NA,"black rockfish (confirmed w/ lauren)","Rockfish: Wildlife Notebook Series - Alaska Department of Fish and Game","Sebastes melonops","Species","Marine","Marine",3.5,"Omnivore (pc/sc)","Predator","Black rockfish are an opportunistic predatory fish that typically feed in the water column on zooplankton, Dungeness crab larvae (Cancer magister/ syn. Metacarcinus magister), and fish species, such as herring (Clupea harengus), sand lance (Ammodytes hexapterus), and Puget Sound rockfish (Sebastes. empheaus). However, they may also feed on benthic species such as crustaceans and octopi.","Black Rockfish Species Profile, Alaska Department of Fish and Game",NA,NA,NA,NA,NA
"110","Fish","Non-Salmon Fish","Blenny","Blenny","Blenny","Blenny","Taxa_lvl5",NA,"gunnel fish (confirmed w/ lauren)","possible that this is a common name for also gunnel fish, and crescent gunnel is the most common it seems like, can't find any other ""blenny"" species in AK… other than slender eelblenny which is not in SE. putting in info for crescent gunnel…","Pholidae","Family","Marine","Marine",3,"Secondary Consumer","Predator","Small crustaceans and molluscs. Juveniles feed primarily on harpacticoid copepods, while adults feed on harpacticoid copepods, gammarid shrimp (such as Hippolyte clarki), and isopods, with additional consumption of other marine invertebrates such as mussels, and algae (Hughes 1985, O’Clair and O’Clair 1998). -- focusing on adult diet","Species Description (alaska.gov)",NA,NA,NA,NA,NA
"111","Fish","Non-Salmon Fish","Burbot","Burbot","Burbot","Burbot","Taxa_lvl5",NA,NA,NA,"Lota Lota","Species","Marine","Freshwater",3.5,"Omnivore (pc/sc)","Predator","Young burbot feed mainly on insects and other invertebrates. By the age of five or six, burbot begin to feed almost exclusively on fish. Adult burbot can appear sluggish, but they are voracious predators, feeding mostly at night. Once a burbot has captured a fish, it is reluctant to give it up. Its large mouth, strong jaw, and large number of inward slanting teeth account for the burbot’s efficiency as a predator. Whitefish, sculpins, lampreys, and other burbot are common food items. Burbot will also sometimes eat mice or shrews","Burbot Species Profile, Alaska Department of Fish and Game",NA,NA,NA,NA,57
"112","Fish","Non-Salmon Fish","Char","Char","Arctic Char","Arctic Char","Taxa_lvl5",NA,NA,NA,"Salvelinus alpinus","Species","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)","Predator","Arctic char feed on a variety of different food items from zooplankton and insects to other fish (including smaller char) depending upon the specific water body, their age and relative size, as well as time of yea","Arctic Char Species Profile, Alaska Department of Fish and Game",NA,NA,NA,NA,58
"113","Fish","Non-Salmon Fish","Char","Char","Brook Trout","Brook Trout","Taxa_lvl5",NA,NA,NA,"Salvelinus fontinalis","Species","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)","Predator","primarily insects and other small invertebrates, larger fish feed on fish and shrimp","Brook Trout (Salvelinus fontinalis) | U.S. Fish & Wildlife Service (fws.gov)",NA,NA,NA,NA,NA
"114","Fish","Non-Salmon Fish","Char","Char","Dolly Varden","Dolly Varden","Taxa_lvl5",NA,NA,NA,"Salvelinus malma","Species","Freshwater_Anadromous","Freshwater_Anadromous",3.5,"Omnivore (pc/sc)","Predator","insect larvae (e.g.m mayflies and midges), crusteaceans, salmon eggs, small fish, salmon fry, amphipods, juvenile salmon, sandlance","Dolly Varden Species Profile, Alaska Department of Fish and Game",NA,NA,NA,NA,59
"115","Fish","Non-Salmon Fish","Eel","Eel","Eel","Eel","Taxa_lvl5",NA,"ask Lauren (still need to confirm)","alaska lamprey? River lamprey? Wolf-eel? All of these are not eels.. But not seeing any eel species come up for alaska",NA,NA,"Marine","Marine",NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"116","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","Flounder","Taxa_lvl4",NA,"starry flounder? Most likely - ask lauren - most likely","starry flounder is most likely according to Lauren","Platichthys stellatus","Species","Marine","Marine",3,"Secondary Consumer","Predator","Feeds on crustaceans, worms, small mollusks, brittle stars, and small fishes","https://www.fishbase.se/summary/Platichthys-stellatus.html",NA,NA,NA,NA,1
"117","Fish","Non-Salmon Fish","Flounder","Flounder","Unknown Flounder","Flounder","Taxa_lvl4",NA,"starry flounder? Most likely - ask lauren - most likely","starry flounder is most likely according to Lauren","Platichthys stellatus","Species","Marine","Marine",3,"Secondary Consumer","Predator","Feeds on crustaceans, worms, small mollusks, brittle stars, and small fishes","https://www.fishbase.se/summary/Platichthys-stellatus.html",NA,NA,NA,NA,31
"118","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Gadiformes","Gadiformes","Taxa_lvl4","Only 1987 and 1985 surveys have only to this degree, others more detailed",NA,NA,"Gadiformes","Order","Marine","Marine",3.5,"Omnivore (pc/sc)","Predator","It is a voracious migratory fish, feeding largely on other fishes and various invertebrates.","Cod | Size, Diet, & Facts | Britannica",NA,NA,NA,NA,NA
