Conversion Factor,Region,Resource,Resource Code,Units,Project Name,Project ID
1,Southeast,Non-Salmon [CF Retention],120000001,lb.,Prince of Wales 1997/1998,114
1,Southeast,Non-Salmon [CF Retention],120000001,lb.,Prince of Wales 1998/1999,125
1,Southeast,Non-Salmon [CF Retention],120000001,lb.,Yakutat Household Survey 2000,137
1,Southeast,Non-Salmon [Rod and Reel],120000002,lb.,Tongass Resource Use Cooperative Study 1987,15
1,Southeast,Non-Salmon [Rod and Reel],120000002,lb.,Southeast Harvest Update 1996,105
1,Southeast,Non-Salmon [Rod and Reel],120000002,lb.,Prince of Wales 1997/1998,114
1,Southeast,Non-Salmon [Rod and Reel],120000002,lb.,Prince of Wales 1998/1999,125
1,Southeast,Non-Salmon [Rod and Reel],120000002,lb.,Yakutat Household Survey 2000,137
1,Southeast,Non-Salmon [Other Gear],120000003,lb.,Tongass Resource Use Cooperative Study 1987,15
1,Southeast,Non-Salmon [Other Gear],120000003,lb.,Southeast Harvest Update 1996,105
1,Southeast,Non-Salmon [Other Gear],120000003,lb.,Prince of Wales 1997/1998,114
1,Southeast,Non-Salmon [Other Gear],120000003,lb.,Prince of Wales 1998/1999,125
1,Southeast,Non-Salmon [Other Gear],120000003,lb.,Yakutat Household Survey 2000,137
6,Southeast,Herring,120200000,Gal.,Alaska Peninsula Index Communities,210
6,Southeast,Herring,120200000,Gal.,Index Communities Year 1,210
6,Southeast,Herring,120200000,Gal.,Index Communities Year 2 (Southeast AK),210
6,Southeast,Herring,120200000,Gal.,Southeast Index Communities,210
6,Southeast,Herring,120200000,Gal.,Chilkat Chinook Salmon Ethnography,219
6,Southeast,Herring,120200000,Gal.,Hoonah Lands Partnership,243
6,Southeast,Herring,120200000,Gal.,NPRB Yakutat Comprehensive,251
1,Southeast,Herring,120200000,lb.,Southeast Timber 1984/1985,13
1,Southeast,Herring,120200000,lb.,Tongass Resource Use Cooperative Study 1987,15
1,Southeast,Herring,120200000,lb.,Haines/Klukwan 1983,49
1,Southeast,Herring,120200000,lb.,Southeast Timber 1985/1986,50
1,Southeast,Herring,120200000,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring,120200000,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring,120200000,lb.,Prince of Wales 1998/1999,125
1,Southeast,Herring,120200000,lb.,Saxman 1999,133
1,Southeast,Herring,120200000,lb.,Saxman 1999/2000,133
1,Southeast,Herring,120200000,lb.,Yakutat Household Survey 2000,137
6,Southeast,Herring [CF Retention],120200001,Gal.,Alaska Peninsula Index Communities,210
6,Southeast,Herring [CF Retention],120200001,Gal.,Index Communities Year 1,210
6,Southeast,Herring [CF Retention],120200001,Gal.,Index Communities Year 2 (Southeast AK),210
6,Southeast,Herring [CF Retention],120200001,Gal.,Southeast Index Communities,210
6,Southeast,Herring [CF Retention],120200001,Gal.,Chilkat Chinook Salmon Ethnography,219
1,Southeast,Herring [CF Retention],120200001,lb.,Tongass Resource Use Cooperative Study 1987,15
1,Southeast,Herring [CF Retention],120200001,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring [CF Retention],120200001,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring [CF Retention],120200001,lb.,Prince of Wales 1998/1999,125
6,Southeast,Herring [Rod and Reel],120200002,Gal.,Alaska Peninsula Index Communities,210
6,Southeast,Herring [Rod and Reel],120200002,Gal.,Index Communities Year 1,210
6,Southeast,Herring [Rod and Reel],120200002,Gal.,Index Communities Year 2 (Southeast AK),210
6,Southeast,Herring [Rod and Reel],120200002,Gal.,Southeast Index Communities,210
6,Southeast,Herring [Rod and Reel],120200002,Gal.,Chilkat Chinook Salmon Ethnography,219
6,Southeast,Herring [Rod and Reel],120200002,Gal.,Hoonah Lands Partnership,243
6,Southeast,Herring [Rod and Reel],120200002,Gal.,NPRB Yakutat Comprehensive,251
1,Southeast,Herring [Rod and Reel],120200002,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring [Rod and Reel],120200002,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring [Rod and Reel],120200002,lb.,Prince of Wales 1998/1999,125
1,Southeast,Herring [Rod and Reel],120200002,lb.,Yakutat Household Survey 2000,137
6,Southeast,Herring [Other Gear],120200003,Gal.,Alaska Peninsula Index Communities,210
6,Southeast,Herring [Other Gear],120200003,Gal.,Index Communities Year 1,210
6,Southeast,Herring [Other Gear],120200003,Gal.,Index Communities Year 2 (Southeast AK),210
6,Southeast,Herring [Other Gear],120200003,Gal.,Southeast Index Communities,210
6,Southeast,Herring [Other Gear],120200003,Gal.,Chilkat Chinook Salmon Ethnography,219
6,Southeast,Herring [Other Gear],120200003,Gal.,Hoonah Lands Partnership,243
6,Southeast,Herring [Other Gear],120200003,Gal.,NPRB Yakutat Comprehensive,251
1,Southeast,Herring [Other Gear],120200003,lb.,Tongass Resource Use Cooperative Study 1987,15
1,Southeast,Herring [Other Gear],120200003,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring [Other Gear],120200003,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring [Other Gear],120200003,lb.,Prince of Wales 1998/1999,125
1,Southeast,Herring [Other Gear],120200003,lb.,Yakutat Household Survey 2000,137
1,Southeast,Herring Roe,120300000,lb.,Southeast Timber 1984/1985,13
1,Southeast,Herring Roe,120300000,lb.,Tongass Resource Use Cooperative Study 1987,15
1,Southeast,Herring Roe,120300000,lb.,Haines/Klukwan 1983,49
1,Southeast,Herring Roe,120300000,lb.,Southeast Timber 1985/1986,50
1,Southeast,Herring Roe,120300000,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Roe,120300000,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Roe,120300000,lb.,Prince of Wales 1998/1999,125
1,Southeast,Herring Roe,120300000,lb.,Saxman 1999,133
1,Southeast,Herring Roe,120300000,lb.,Saxman 1999/2000,133
1,Southeast,Herring Roe,120300000,lb.,Yakutat Household Survey 2000,137
1,Southeast,Herring Roe,120300000,lb.,Sitka Subsistence Herring Roe Harvest 2004,197
1,Southeast,Herring Roe,120300000,lb.,Sitka Subsistence Herring Roe Harvest 2005,197
1,Southeast,Herring Roe,120300000,lb.,Sitka Subsistence Herring Roe Harvest 2006,197
3.9485295,Southeast,Herring Roe,120300000,lb.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Roe,120300000,lb.,Index Communities Year 1,210
3.9485295,Southeast,Herring Roe,120300000,lb.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Roe,120300000,lb.,Southeast Index Communities,210
7,Southeast,Herring Roe,120300000,lb.,Hoonah Lands Partnership,243
7,Southeast,Herring Roe,120300000,lb.,NPRB Yakutat Comprehensive,251
7,Southeast,Herring Roe,120300000,Lbs.,Chilkat Chinook Salmon Ethnography,219
1,Southeast,Herring Roe [CF Retention],120300001,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Roe [CF Retention],120300001,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Roe [CF Retention],120300001,lb.,Prince of Wales 1998/1999,125
3.9485295,Southeast,Herring Roe [CF Retention],120300001,lb.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Roe [CF Retention],120300001,lb.,Index Communities Year 1,210
3.9485295,Southeast,Herring Roe [CF Retention],120300001,lb.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Roe [CF Retention],120300001,lb.,Southeast Index Communities,210
7,Southeast,Herring Roe [CF Retention],120300001,lb.,NPRB Yakutat Comprehensive,251
7,Southeast,Herring Roe [CF Retention],120300001,Lbs.,Chilkat Chinook Salmon Ethnography,219
1,Southeast,Herring Roe [Rod and Reel],120300002,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Roe [Rod and Reel],120300002,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Roe [Rod and Reel],120300002,lb.,Prince of Wales 1998/1999,125
1,Southeast,Herring Roe [Rod and Reel],120300002,lb.,Yakutat Household Survey 2000,137
3.9485295,Southeast,Herring Roe [Rod and Reel],120300002,lb.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Roe [Rod and Reel],120300002,lb.,Index Communities Year 1,210
3.9485295,Southeast,Herring Roe [Rod and Reel],120300002,lb.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Roe [Rod and Reel],120300002,lb.,Southeast Index Communities,210
7,Southeast,Herring Roe [Rod and Reel],120300002,lb.,Hoonah Lands Partnership,243
7,Southeast,Herring Roe [Rod and Reel],120300002,lb.,NPRB Yakutat Comprehensive,251
7,Southeast,Herring Roe [Rod and Reel],120300002,Lbs.,Chilkat Chinook Salmon Ethnography,219
1,Southeast,Herring Roe [Other Gear],120300003,lb.,Tongass Resource Use Cooperative Study 1987,15
1,Southeast,Herring Roe [Other Gear],120300003,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Roe [Other Gear],120300003,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Roe [Other Gear],120300003,lb.,Prince of Wales 1998/1999,125
1,Southeast,Herring Roe [Other Gear],120300003,lb.,Yakutat Household Survey 2000,137
3.9485295,Southeast,Herring Roe [Other Gear],120300003,lb.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Roe [Other Gear],120300003,lb.,Index Communities Year 1,210
3.9485295,Southeast,Herring Roe [Other Gear],120300003,lb.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Roe [Other Gear],120300003,lb.,Southeast Index Communities,210
7,Southeast,Herring Roe [Other Gear],120300003,lb.,Hoonah Lands Partnership,243
7,Southeast,Herring Roe [Other Gear],120300003,lb.,NPRB Yakutat Comprehensive,251
7,Southeast,Herring Roe [Other Gear],120300003,Lbs.,Chilkat Chinook Salmon Ethnography,219
3.9485295,Southeast,Herring Roe/Unspecified,120302000,Gal.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Roe/Unspecified,120302000,Gal.,Index Communities Year 1,210
3.9485295,Southeast,Herring Roe/Unspecified,120302000,Gal.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Roe/Unspecified,120302000,Gal.,Southeast Index Communities,210
7,Southeast,Herring Roe/Unspecified,120302000,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Roe/Unspecified,120302000,Gal.,Index Communities Year 1,210
7,Southeast,Herring Roe/Unspecified,120302000,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Roe/Unspecified,120302000,Gal.,Southeast Index Communities,210
7,Southeast,Herring Roe/Unspecified,120302000,Gal.,Chilkat Chinook Salmon Ethnography,219
7,Southeast,Herring Roe/Unspecified,120302000,Gal.,NPRB Yakutat Comprehensive,251
1,Southeast,Herring Roe/Unspecified,120302000,lb.,Southeast Timber 1984/1985,13
1,Southeast,Herring Roe/Unspecified,120302000,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Roe/Unspecified,120302000,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Roe/Unspecified,120302000,lb.,Prince of Wales 1998/1999,125
1,Southeast,Herring Roe/Unspecified,120302000,lb.,Yakutat Household Survey 2000,137
1,Southeast,Herring Roe/Unspecified [CF Retention],120302001,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Roe/Unspecified [CF Retention],120302001,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Roe/Unspecified [CF Retention],120302001,lb.,Prince of Wales 1998/1999,125
3.9485295,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,Gal.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,Gal.,Index Communities Year 1,210
3.9485295,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,Gal.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,Gal.,Southeast Index Communities,210
7,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,Gal.,Index Communities Year 1,210
7,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,Gal.,Southeast Index Communities,210
7,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,Gal.,Chilkat Chinook Salmon Ethnography,219
7,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,Gal.,NPRB Yakutat Comprehensive,251
1,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,lb.,Prince of Wales 1998/1999,125
1,Southeast,Herring Roe/Unspecified [Rod and Reel],120302002,lb.,Yakutat Household Survey 2000,137
3.9485295,Southeast,Herring Roe/Unspecified [Other Gear],120302003,Gal.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Roe/Unspecified [Other Gear],120302003,Gal.,Index Communities Year 1,210
3.9485295,Southeast,Herring Roe/Unspecified [Other Gear],120302003,Gal.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Roe/Unspecified [Other Gear],120302003,Gal.,Southeast Index Communities,210
7,Southeast,Herring Roe/Unspecified [Other Gear],120302003,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Roe/Unspecified [Other Gear],120302003,Gal.,Index Communities Year 1,210
7,Southeast,Herring Roe/Unspecified [Other Gear],120302003,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Roe/Unspecified [Other Gear],120302003,Gal.,Southeast Index Communities,210
7,Southeast,Herring Roe/Unspecified [Other Gear],120302003,Gal.,Chilkat Chinook Salmon Ethnography,219
7,Southeast,Herring Roe/Unspecified [Other Gear],120302003,Gal.,NPRB Yakutat Comprehensive,251
1,Southeast,Herring Roe/Unspecified [Other Gear],120302003,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Roe/Unspecified [Other Gear],120302003,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Roe/Unspecified [Other Gear],120302003,lb.,Prince of Wales 1998/1999,125
1,Southeast,Herring Roe/Unspecified [Other Gear],120302003,lb.,Yakutat Household Survey 2000,137
3.9485295,Southeast,Herring Sac Roe,120304000,Gal.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Sac Roe,120304000,Gal.,Index Communities Year 1,210
3.9485295,Southeast,Herring Sac Roe,120304000,Gal.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Sac Roe,120304000,Gal.,Southeast Index Communities,210
7,Southeast,Herring Sac Roe,120304000,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Sac Roe,120304000,Gal.,Index Communities Year 1,210
7,Southeast,Herring Sac Roe,120304000,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Sac Roe,120304000,Gal.,Southeast Index Communities,210
7,Southeast,Herring Sac Roe,120304000,Gal.,Chilkat Chinook Salmon Ethnography,219
3.9485295,Southeast,Herring Sac Roe [CF Retention],120304001,Gal.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Sac Roe [CF Retention],120304001,Gal.,Index Communities Year 1,210
3.9485295,Southeast,Herring Sac Roe [CF Retention],120304001,Gal.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Sac Roe [CF Retention],120304001,Gal.,Southeast Index Communities,210
7,Southeast,Herring Sac Roe [CF Retention],120304001,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Sac Roe [CF Retention],120304001,Gal.,Index Communities Year 1,210
7,Southeast,Herring Sac Roe [CF Retention],120304001,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Sac Roe [CF Retention],120304001,Gal.,Southeast Index Communities,210
7,Southeast,Herring Sac Roe [CF Retention],120304001,Gal.,Chilkat Chinook Salmon Ethnography,219
7,Southeast,Herring Sac Roe [Rod and Reel],120304002,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Sac Roe [Rod and Reel],120304002,Gal.,Index Communities Year 1,210
7,Southeast,Herring Sac Roe [Rod and Reel],120304002,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Sac Roe [Rod and Reel],120304002,Gal.,Southeast Index Communities,210
7,Southeast,Herring Sac Roe [Other Gear],120304003,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Sac Roe [Other Gear],120304003,Gal.,Index Communities Year 1,210
7,Southeast,Herring Sac Roe [Other Gear],120304003,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Sac Roe [Other Gear],120304003,Gal.,Southeast Index Communities,210
3.9485295,Southeast,Herring Spawn on Kelp,120306000,Gal.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Spawn on Kelp,120306000,Gal.,Index Communities Year 1,210
3.9485295,Southeast,Herring Spawn on Kelp,120306000,Gal.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Spawn on Kelp,120306000,Gal.,Southeast Index Communities,210
7,Southeast,Herring Spawn on Kelp,120306000,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Spawn on Kelp,120306000,Gal.,Index Communities Year 1,210
7,Southeast,Herring Spawn on Kelp,120306000,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Spawn on Kelp,120306000,Gal.,Southeast Index Communities,210
7,Southeast,Herring Spawn on Kelp,120306000,Gal.,Chilkat Chinook Salmon Ethnography,219
7,Southeast,Herring Spawn on Kelp,120306000,Gal.,Hoonah Lands Partnership,243
7,Southeast,Herring Spawn on Kelp,120306000,Gal.,NPRB Yakutat Comprehensive,251
0,Southeast,Herring Spawn on Kelp,120306000,Ind.,Yakutat Household Survey 2000,137
1,Southeast,Herring Spawn on Kelp,120306000,lb.,Southeast Timber 1984/1985,13
1,Southeast,Herring Spawn on Kelp,120306000,lb.,Tongass Resource Use Cooperative Study 1987,15
1,Southeast,Herring Spawn on Kelp,120306000,lb.,Southeast Timber 1985/1986,50
1,Southeast,Herring Spawn on Kelp,120306000,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Spawn on Kelp,120306000,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Spawn on Kelp,120306000,lb.,Prince of Wales 1998/1999,125
1,Southeast,Herring Spawn on Kelp,120306000,lb.,Saxman 1999,133
1,Southeast,Herring Spawn on Kelp,120306000,lb.,Saxman 1999/2000,133
3.9485295,Southeast,Herring Spawn on Kelp [CF Retention],120306001,Gal.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Spawn on Kelp [CF Retention],120306001,Gal.,Index Communities Year 1,210
3.9485295,Southeast,Herring Spawn on Kelp [CF Retention],120306001,Gal.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Spawn on Kelp [CF Retention],120306001,Gal.,Southeast Index Communities,210
7,Southeast,Herring Spawn on Kelp [CF Retention],120306001,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Spawn on Kelp [CF Retention],120306001,Gal.,Index Communities Year 1,210
7,Southeast,Herring Spawn on Kelp [CF Retention],120306001,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Spawn on Kelp [CF Retention],120306001,Gal.,Southeast Index Communities,210
7,Southeast,Herring Spawn on Kelp [CF Retention],120306001,Gal.,Chilkat Chinook Salmon Ethnography,219
7,Southeast,Herring Spawn on Kelp [CF Retention],120306001,Gal.,NPRB Yakutat Comprehensive,251
1,Southeast,Herring Spawn on Kelp [CF Retention],120306001,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Spawn on Kelp [CF Retention],120306001,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Spawn on Kelp [CF Retention],120306001,lb.,Prince of Wales 1998/1999,125
3.9485295,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,Gal.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,Gal.,Index Communities Year 1,210
3.9485295,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,Gal.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,Gal.,Southeast Index Communities,210
7,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,Gal.,Index Communities Year 1,210
7,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,Gal.,Southeast Index Communities,210
7,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,Gal.,Chilkat Chinook Salmon Ethnography,219
7,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,Gal.,Hoonah Lands Partnership,243
7,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,Gal.,NPRB Yakutat Comprehensive,251
0,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,Ind.,Yakutat Household Survey 2000,137
1,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Spawn on Kelp [Rod and Reel],120306002,lb.,Prince of Wales 1998/1999,125
3.9485295,Southeast,Herring Spawn on Kelp [Other Gear],120306003,Gal.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Spawn on Kelp [Other Gear],120306003,Gal.,Index Communities Year 1,210
3.9485295,Southeast,Herring Spawn on Kelp [Other Gear],120306003,Gal.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Spawn on Kelp [Other Gear],120306003,Gal.,Southeast Index Communities,210
7,Southeast,Herring Spawn on Kelp [Other Gear],120306003,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Spawn on Kelp [Other Gear],120306003,Gal.,Index Communities Year 1,210
7,Southeast,Herring Spawn on Kelp [Other Gear],120306003,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Spawn on Kelp [Other Gear],120306003,Gal.,Southeast Index Communities,210
7,Southeast,Herring Spawn on Kelp [Other Gear],120306003,Gal.,Chilkat Chinook Salmon Ethnography,219
7,Southeast,Herring Spawn on Kelp [Other Gear],120306003,Gal.,Hoonah Lands Partnership,243
7,Southeast,Herring Spawn on Kelp [Other Gear],120306003,Gal.,NPRB Yakutat Comprehensive,251
0,Southeast,Herring Spawn on Kelp [Other Gear],120306003,Ind.,Yakutat Household Survey 2000,137
1,Southeast,Herring Spawn on Kelp [Other Gear],120306003,lb.,Tongass Resource Use Cooperative Study 1987,15
1,Southeast,Herring Spawn on Kelp [Other Gear],120306003,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Spawn on Kelp [Other Gear],120306003,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Spawn on Kelp [Other Gear],120306003,lb.,Prince of Wales 1998/1999,125
3.9485295,Southeast,Herring Roe on Hair Seaweed,120308000,Gal.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Roe on Hair Seaweed,120308000,Gal.,Index Communities Year 1,210
3.9485295,Southeast,Herring Roe on Hair Seaweed,120308000,Gal.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Roe on Hair Seaweed,120308000,Gal.,Southeast Index Communities,210
7,Southeast,Herring Roe on Hair Seaweed,120308000,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Roe on Hair Seaweed,120308000,Gal.,Index Communities Year 1,210
7,Southeast,Herring Roe on Hair Seaweed,120308000,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Roe on Hair Seaweed,120308000,Gal.,Southeast Index Communities,210
7,Southeast,Herring Roe on Hair Seaweed,120308000,Gal.,Chilkat Chinook Salmon Ethnography,219
7,Southeast,Herring Roe on Hair Seaweed,120308000,Gal.,Hoonah Lands Partnership,243
7,Southeast,Herring Roe on Hair Seaweed,120308000,Gal.,NPRB Yakutat Comprehensive,251
0,Southeast,Herring Roe on Hair Seaweed,120308000,Ind.,Yakutat Household Survey 2000,137
1,Southeast,Herring Roe on Hair Seaweed,120308000,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Roe on Hair Seaweed,120308000,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Roe on Hair Seaweed,120308000,lb.,Prince of Wales 1998/1999,125
1,Southeast,Herring Roe on Hair Seaweed,120308000,lb.,Saxman 1999,133
1,Southeast,Herring Roe on Hair Seaweed,120308000,lb.,Saxman 1999/2000,133
3.9485295,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,Gal.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,Gal.,Index Communities Year 1,210
3.9485295,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,Gal.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,Gal.,Southeast Index Communities,210
7,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,Gal.,Index Communities Year 1,210
7,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,Gal.,Southeast Index Communities,210
7,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,Gal.,Chilkat Chinook Salmon Ethnography,219
7,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,Gal.,Hoonah Lands Partnership,243
7,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,Gal.,NPRB Yakutat Comprehensive,251
0,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,Ind.,Yakutat Household Survey 2000,137
1,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,lb.,Southeast Harvest Update 1996,105
1,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,lb.,Prince of Wales 1997/1998,114
1,Southeast,Herring Roe on Hair Seaweed [Rod and Reel],120308002,lb.,Prince of Wales 1998/1999,125
3.9485295,Southeast,Herring Roe on Hair Seaweed [Other Gear],120308003,Gal.,Alaska Peninsula Index Communities,210
3.9485295,Southeast,Herring Roe on Hair Seaweed [Other Gear],120308003,Gal.,Index Communities Year 1,210
3.9485295,Southeast,Herring Roe on Hair Seaweed [Other Gear],120308003,Gal.,Index Communities Year 2 (Southeast AK),210
3.9485295,Southeast,Herring Roe on Hair Seaweed [Other Gear],120308003,Gal.,Southeast Index Communities,210
7,Southeast,Herring Roe on Hair Seaweed [Other Gear],120308003,Gal.,Alaska Peninsula Index Communities,210
7,Southeast,Herring Roe on Hair Seaweed [Other Gear],120308003,Gal.,Index Communities Year 1,210
7,Southeast,Herring Roe on Hair Seaweed [Other Gear],120308003,Gal.,Index Communities Year 2 (Southeast AK),210
7,Southeast,Herring Roe on Hair Seaweed [Other Gear],120308003,Gal.,Southeast Index Communities,210
7,Southeast,Herring Roe on Hair Seaweed [Other Gear],120308003,Gal.,Chilkat Chinook Salmon Ethnography,219
7,Southeast,Herring Roe on Hair Seaweed [Other Gear],120308003,Gal.,Hoonah Lands Partnership,243
7,Southeast,Herring Roe on Hair Seaweed [Other Gear],120308003,Gal.,NPRB Yakutat Comprehensive,251
