"","Project_Name","Site_Year_Code","Habitat","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Resource_Code","Resource_Name","Sampled_households","Est_Num_Community_Households","Sampled_Population","Est_Comm_Population","Most_Rep_Year","Conversion_Units_To_Pounds","Resource_Harvest_Units","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Lower_Pounds_Harvested","Upper_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Percent_Of_Total_Harvest","Mean_Grams_Per_Capita_Use","Mean_Pounds_Per_Capita_Use","Mean_Grams_Percapita_Harvest"
"1136","MMSII 1992","Nanwalek_1992","Marine","Fish","Non-Salmon Fish","Wolffish","Wolffish","Wolffish","124200000","Wolffish",32,41,133,170.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"1137","MMSII 1993","Nanwalek_1993","Marine","Fish","Non-Salmon Fish","Wolffish","Wolffish","Wolffish","124200000","Wolffish",33,37,126,141.3,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1138","EVOSTC Gulf of Alaska 1997","Nanwalek_1997","Marine","Fish","Non-Salmon Fish","Wolffish","Wolffish","Wolffish","124200000","Wolffish",29,38,128,167.7,"No",0.5,"Ind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1139","EVOS 15 Year retrospective","Nanwalek_2003","Marine","Fish","Non-Salmon Fish","Wolffish","Wolffish","Wolffish","124200000","Wolffish",22,51,99,229.5,"No",0.5,"Ind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"1140","Alaska LNG","Nanwalek_2014","Marine","Fish","Non-Salmon Fish","Wolffish","Wolffish","Wolffish","124200000","Wolffish",56,58,223,231,"Yes",0.5,"Ind.",0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
"1141","MMSII 1992","Nanwalek_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Arctic Char","125002000","Arctic Char",32,41,133,170.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"1142","MMSII 1993","Nanwalek_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Arctic Char","125002000","Arctic Char",33,37,126,141.3,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1143","English Bay/Port Graham 1987","Nanwalek_1987","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Dolly Varden","125006000","Dolly Varden",33,40,125,151.5,"No",1.4,"Ind.",0.818,0.667,0.667,0.515,0.485,4463.2,5410,3929,6891,135.25,35.71,3188,3864,NA,54.250923,43.655254,44.377254
"1144","Lower Cook Inlet 1989","Nanwalek_1989","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Dolly Varden","125006000","Dolly Varden",33,41,126,156.5,"No",1.4,"Ind.",0.485,0.39400002,0.39400002,0.273,0.36400002,1245.6,1548,1071,2025,37.745,9.89,889.71,1105,NA,25.341084,20.391754,12.290425
"1145","Gulf of Alaska 1990","Nanwalek_1990","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Dolly Varden","125006000","Dolly Varden",35,41,157,183.9,"No",1.4,"Ind.",0.943,0.857,0.857,0.48599997,0.6,3764.6,4410,3462,5358,107.56,23.98,2689,3150,NA,31.601526,25.42948,29.800241
"1146","MMSII 1991","Nanwalek_1991","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Dolly Varden","125006000","Dolly Varden",29,41,114,161.2,"No",1.4,"Ind.",0.931,0.828,0.79300004,0.655,0.552,3165.4,4475,3143,5807,109.152,27.77,2261,3197,NA,37.067802,29.828142,34.51012
"1147","MMSII 1992","Nanwalek_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Dolly Varden","125006000","Dolly Varden",32,41,133,170.4,"No",1.4,"Ind.",0.875,0.813,0.813,0.53099996,0.59400004,3648.4,4675,3544,5806,114.013,27.43,2606,3339,NA,38.957256,31.348572,34.0876
"1148","MMSII 1993","Nanwalek_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Dolly Varden","125006000","Dolly Varden",33,37,126,141.3,"No",1.4,"Ind.",0.78800005,0.606,0.606,0.485,0.485,2389,2679,2209,3149,72.394,18.96,1706.43,1913,0.00062203954,29.900791,24.060911,23.561825
"1149","EVOSTC Gulf of Alaska 1997","Nanwalek_1997","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Dolly Varden","125006000","Dolly Varden",29,38,128,167.7,"No",1.4,"Ind.",0.69,0.655,0.655,0.552,0.414,837.2,1097,631,1563,28.87,6.54,598,784,0.00025755406,11.778751,9.478261,8.127338
"1150","EVOS 15 Year retrospective","Nanwalek_2003","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Dolly Varden","125006000","Dolly Varden",22,51,99,229.5,"No",1.4,"Ind.",0.72727275,0.59090906,0.59090906,0.4090909,0.54545456,1352.8,3136.0364,1352.8,6289.736,61.49091,13.528,966.2857,2240.026,0.03440348,23.115692,18.601,16.811413
"1151","Alaska LNG","Nanwalek_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Dolly Varden","125006000","Dolly Varden",56,58,223,231,"Yes",1.4,"Ind.",0.42900002,0.393,0.393,0.25,0.268,1691.4,1886.6,1691.4,2112.992,32.5,8.168196,1208.1,1347.5,0.032,23.685007,19.059122,10.150717
"1152","Gulf of Alaska 1990","Nanwalek_1990","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Lake Trout","125010000","Lake Trout",35,41,157,183.9,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"1153","MMSII 1992","Nanwalek_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Lake Trout","125010000","Lake Trout",32,41,133,170.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"1154","MMSII 1993","Nanwalek_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Lake Trout","125010000","Lake Trout",33,37,126,141.3,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1155","EVOSTC Gulf of Alaska 1997","Nanwalek_1997","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Lake Trout","125010000","Lake Trout",29,38,128,167.7,"No",1.4,"Ind.",0.069,0.069,0.069,0,0,49,64,19,109,1.69,0.38,35,46,1.5025943e-05,6.8439226,5.507246,0.47223067
"1156","EVOS 15 Year retrospective","Nanwalek_2003","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Lake Trout","125010000","Lake Trout",22,51,99,229.5,"No",1.4,"Ind.",0.09090909,0.045454547,0.045454547,0.045454547,0.045454547,42,97.36364,42,250.04759,1.9090909,0.42,30,69.545456,0.0010681151,5.741331,4.62,0.52193916
"1157","Alaska LNG","Nanwalek_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Char","Lake Trout","125010000","Lake Trout",56,58,223,231,"Yes",1.4,"Ind.",0.143,0.107,0.107,0.054,0.071,578.2,598.9,578.2,767.78986,10.3,2.592825,413,427.8,0.01,22.554949,18.149775,3.2221355
"1158","Gulf of Alaska 1990","Nanwalek_1990","Marine","Fish","Non-Salmon Fish","Grayling","Grayling","Grayling","125200000","Grayling",35,41,157,183.9,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"1159","MMSII 1992","Nanwalek_1992","Marine","Fish","Non-Salmon Fish","Grayling","Grayling","Grayling","125200000","Grayling",32,41,133,170.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"1160","MMSII 1993","Nanwalek_1993","Marine","Fish","Non-Salmon Fish","Grayling","Grayling","Grayling","125200000","Grayling",33,37,126,141.3,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1161","EVOSTC Gulf of Alaska 1997","Nanwalek_1997","Marine","Fish","Non-Salmon Fish","Grayling","Grayling","Grayling","125200000","Grayling",29,38,128,167.7,"No",0.7,"Ind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1162","EVOS 15 Year retrospective","Nanwalek_2003","Marine","Fish","Non-Salmon Fish","Grayling","Grayling","Grayling","125200000","Grayling",22,51,99,229.5,"No",0.7,"Ind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"1163","Alaska LNG","Nanwalek_2014","Marine","Fish","Non-Salmon Fish","Grayling","Grayling","Grayling","125200000","Grayling",56,58,223,231,"Yes",0.7,"Ind.",0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
"1164","EVOSTC Gulf of Alaska 1997","Nanwalek_1997","Freshwater_Anadromous","Fish","Non-Salmon Fish","Pike","Pike","Unknown Pike","125499000","Unknown Pike",29,38,128,167.7,"No",0,"Ind.",0.034,0,0,0.034,0.034,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1165","EVOS 15 Year retrospective","Nanwalek_2003","Freshwater_Anadromous","Fish","Non-Salmon Fish","Pike","Pike","Unknown Pike","125499000","Unknown Pike",22,51,99,229.5,"No",NA,"lb.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"1166","Alaska LNG","Nanwalek_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Pike","Pike","Northern Pike","125500000","Northern Pike",56,58,223,231,"Yes",3,"Ind.",0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
"1167","EVOSTC Gulf of Alaska 1997","Nanwalek_1997","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Unknown Sturgeon","125899000","Unknown Sturgeon",29,38,128,167.7,"No",0,"Ind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1168","EVOS 15 Year retrospective","Nanwalek_2003","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Unknown Sturgeon","125899000","Unknown Sturgeon",22,51,99,229.5,"No",34,"Ind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"1169","Alaska LNG","Nanwalek_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Unknown Sturgeon","125899000","Unknown Sturgeon",56,58,223,231,"Yes",34,"Ind.",0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
"1170","EVOSTC Gulf of Alaska 1997","Nanwalek_1997","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Cutthroat Trout","126202000","Cutthroat Trout",29,38,128,167.7,"No",1.4,"Ind.",0.034,0.034,0.034,0,0,1.4,2,0,4,0.05,0.01,1,1,4.6956072e-07,0.3655036,0.29411763,0.012427123
"1171","EVOS 15 Year retrospective","Nanwalek_2003","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Cutthroat Trout","126202000","Cutthroat Trout",22,51,99,229.5,"No",1.4,"Ind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"1172","Alaska LNG","Nanwalek_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Cutthroat Trout","126202000","Cutthroat Trout",56,58,223,231,"Yes",1.4,"Ind.",0.054,0.036,0.036,0.018,0.036,49,50.8,49,64.1604,0.9,0.21973093,35,36.3,0.001,5.0971637,4.101644,0.27306232
"1173","English Bay/Port Graham 1987","Nanwalek_1987","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Rainbow Trout","126204000","Rainbow Trout",33,40,125,151.5,"No",1.4,"Ind.",0.545,0.39400002,0.39400002,0.273,0.21200001,309.4,375,259,491,9.376,2.47,221,268,NA,5.632109,4.53211,3.0694995
"1174","Lower Cook Inlet 1989","Nanwalek_1989","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Rainbow Trout","126204000","Rainbow Trout",33,41,126,156.5,"No",1.4,"Ind.",0.18200001,0.18200001,0.18200001,0.061,0.12100001,189,235,137,333,5.727,1.5,135,168,NA,10.242134,8.241758,1.8640685
"1175","Gulf of Alaska 1990","Nanwalek_1990","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Rainbow Trout","126204000","Rainbow Trout",35,41,157,183.9,"No",1.4,"Ind.",0.514,0.42900002,0.42900002,0.2,0.229,585.2,686,439,933,16.72,3.73,418,490,NA,9.0181265,7.256809,4.635317
"1176","MMSII 1991","Nanwalek_1991","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Rainbow Trout","126204000","Rainbow Trout",29,41,114,161.2,"No",1.4,"Ind.",0.31,0.241,0.241,0.138,0.138,186.2,263,135,391,6.421,1.63,133,188,NA,6.5342617,5.2580643,2.0256212
"1177","MMSII 1992","Nanwalek_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Rainbow Trout","126204000","Rainbow Trout",32,41,133,170.4,"No",1.4,"Ind.",0.344,0.313,0.28100002,0.188,0.156,359.8,461,305,617,11.244,2.71,257,329,NA,9.789971,7.877907,3.3677504
"1178","MMSII 1993","Nanwalek_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Rainbow Trout","126204000","Rainbow Trout",33,37,126,141.3,"No",1.4,"Ind.",0.24200001,0.21200001,0.18200001,0.091000006,0.12100001,228.2,256,170,342,6.915,1.81,163,183,5.9440885e-05,9.294666,7.479338,2.2493093
"1179","EVOSTC Gulf of Alaska 1997","Nanwalek_1997","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Rainbow Trout","126204000","Rainbow Trout",29,38,128,167.7,"No",1.4,"Ind.",0.345,0.276,0.276,0.172,0.207,175.8,230,116,345,6.06,1.37,125.6,165,5.3999483e-05,4.9348288,3.9710145,1.7025158
"1180","EVOS 15 Year retrospective","Nanwalek_2003","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Rainbow Trout","126204000","Rainbow Trout",22,51,99,229.5,"No",1.4,"Ind.",0.5,0.4090909,0.4090909,0.27272728,0.3181818,194,449.72726,194,709.61194,8.818182,1.94,138.57143,321.23376,0.0049336744,4.821724,3.88,2.410862
"1181","Alaska LNG","Nanwalek_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Rainbow Trout","126204000","Rainbow Trout",56,58,223,231,"Yes",1.4,"Ind.",0.304,0.23200001,0.23200001,0.107,0.125,217,228.8,217,256.0272,3.9,0.99078673,155,163.5,0.004,4.055925,3.263768,1.2312629
"1182","Gulf of Alaska 1990","Nanwalek_1990","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Steelhead","126206000","Steelhead",35,41,157,183.9,"No",1.4,"Ind.",0.314,0.229,0.229,0.171,0.086,84,98,59,137,2.4,0.53,60,70,NA,2.0975716,1.687898,0.6586375
"1183","MMSII 1991","Nanwalek_1991","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Steelhead","126206000","Steelhead",29,41,114,161.2,"No",1.4,"Ind.",0.138,0.103,0.103,0.069,0.069,42,59,15,103,1.448,0.37,30,42,NA,3.33191,2.6811595,0.45980358
"1184","MMSII 1992","Nanwalek_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Steelhead","126206000","Steelhead",32,41,133,170.4,"No",1.4,"Ind.",0.313,0.25,0.25,0.125,0.156,60.2,77,42,112,1.881,0.45,43,55,NA,1.7866471,1.4376997,0.55922055
"1185","MMSII 1993","Nanwalek_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Steelhead","126206000","Steelhead",33,37,126,141.3,"No",1.4,"Ind.",0.273,0.24200001,0.24200001,0.03,0.12100001,46.2,52,36,68,1.4,0.37,33,37,1.20739305e-05,1.6842622,1.3553114,0.45980358
"1186","EVOSTC Gulf of Alaska 1997","Nanwalek_1997","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Steelhead","126206000","Steelhead",29,38,128,167.7,"No",1.4,"Ind.",0.31,0.276,0.276,0.103,0.241,151.2,198,93,303,5.21,1.18,108,142,4.648651e-05,4.7303243,3.8064516,1.4664005
"1187","EVOS 15 Year retrospective","Nanwalek_2003","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Steelhead","126206000","Steelhead",22,51,99,229.5,"No",1.4,"Ind.",0.22727273,0.22727273,0.22727273,0,0.09090909,19.6,45.436363,19.6,81.18359,0.8909091,0.196,14,32.454544,0.00049845374,1.0717151,0.8624,0.24357161
"1188","Alaska LNG","Nanwalek_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Steelhead","126206000","Steelhead",56,58,223,231,"Yes",1.4,"Ind.",0.107,0.088999994,0.088999994,0.036,0.036,16.8,17.4,16.8,20.7234,0.3,0.075336315,12,12.4,0,0.87379944,0.70313895,0.09362137
"1189","Gulf of Alaska 1990","Nanwalek_1990","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Unknown Trout","126299000","Unknown Trout",35,41,157,183.9,"No",1.4,"Ind.",0.056999996,0.056999996,0.056999996,0,0.029000001,44.8,52,24,80,1.28,0.28,32,37,NA,6.104552,4.912281,0.34795946
"1190","MMSII 1992","Nanwalek_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Unknown Trout","126299000","Unknown Trout",32,41,133,170.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"1191","MMSII 1993","Nanwalek_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Unknown Trout","126299000","Unknown Trout",33,37,126,141.3,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1192","EVOSTC Gulf of Alaska 1997","Nanwalek_1997","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Unknown Trout","126299000","Unknown Trout",29,38,128,167.7,"No",1.4,"Ind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1193","EVOS 15 Year retrospective","Nanwalek_2003","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Trout","Unknown Trout","126299000","Unknown Trout",22,51,99,229.5,"No",1.4,"Ind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"1194","MMSII 1992","Nanwalek_1992","Freshwater_Anadromous","Fish","Non-Salmon Fish","Whitefish","Whitefish","Unknown Whitefish","126499000","Unknown Whitefish",32,41,133,170.4,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"1195","MMSII 1993","Nanwalek_1993","Freshwater_Anadromous","Fish","Non-Salmon Fish","Whitefish","Whitefish","Unknown Whitefish","126499000","Unknown Whitefish",33,37,126,141.3,"No",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1196","EVOSTC Gulf of Alaska 1997","Nanwalek_1997","Freshwater_Anadromous","Fish","Non-Salmon Fish","Whitefish","Whitefish","Unknown Whitefish","126499000","Unknown Whitefish",29,38,128,167.7,"No",0,"Ind.",0.034,0,0,0.034,0.034,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1197","EVOS 15 Year retrospective","Nanwalek_2003","Freshwater_Anadromous","Fish","Non-Salmon Fish","Whitefish","Whitefish","Unknown Whitefish","126499000","Unknown Whitefish",22,51,99,229.5,"No",1.75,"Ind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"1198","Alaska LNG","Nanwalek_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Whitefish","Whitefish","Unknown Whitefish","126499000","Unknown Whitefish",56,58,223,231,"Yes",1.75,"Ind.",0.018,0,0,0.018,0,0,0,NA,NA,0,0,0,0,0,0,0,0
"1199","English Bay/Port Graham 1987","Nanwalek_1987","Marine","Fish","Non-Salmon Fish","Unknown Non-Salmon Fish","Unknown Non-Salmon Fish","Unknown Non-Salmon Fish","129900000","Unknown Non-Salmon Fish",33,40,125,151.5,"No",1,"Ind.",0.18200001,0.12100001,0.12100001,0.091000006,0.061,20,24,13,35,0.61,0.16,20,24,NA,1.0924942,0.8791208,0.19883397
"1200","English Bay/Port Graham 1987","Port Graham_1987","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","111000000","Chum Salmon",54,63,155,180.8,"No",5.9,"Ind.",0.741,0.611,0.593,0.315,0.259,2206.6,2574,2194,2954,40.863,14.23,374,436,0.0006220547,23.864773,19.20378,17.683796
"1201","Lower Cook Inlet 1989","Port Graham_1989","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","111000000","Chum Salmon",48,61,127,161.4,"No",6.4,"Ind.",0.375,0.292,0.25,0.16700001,0.125,403.2,512,360,664,8.4,3.17,63,80,0.00025951644,10.505062,8.453334,3.9393983
"1202","Gulf of Alaska 1990","Port Graham_1990","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","111000000","Chum Salmon",46,55,137,163.8,"No",6.6,"Ind.",0.78300005,0.45700002,0.413,0.5,0.304,792,947,773,1121,17.217,5.78,120,143,0.00027020858,9.173534,7.3818645,7.1828775
"1203","MMSII 1991","Port Graham_1991","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","111000000","Chum Salmon",49,58,136,161,"No",5.55,"Ind.",0.83699995,0.714,0.714,0.469,0.49,2991.45,3541,3147,3935,61.05,22,539,638,0.0007831126,32.663887,26.28435,27.339672
"1204","MMSII 1992","Port Graham_1992","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","111000000","Chum Salmon",48,58,138,166.8,"No",4.8,"Ind.",0.875,0.75,0.708,0.438,0.56299996,2544,3074,2628,3520,53,18.43,530,640,0.0006759758,26.175074,21.062857,22.903189
"1205","MMSII 1993","Port Graham_1993","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","111000000","Chum Salmon",51,61,146,173.6,"No",4.51,"Ind.",0.78400004,0.588,0.549,0.39200002,0.39200002,2164.8,2589,2112,3066,42.447,14.83,480,574,0.00069842726,23.506918,18.915815,18.429424
"1206","EVOSTC Gulf of Alaska 1997","Port Graham_1997","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","111000000","Chum Salmon",44,63,109,156.1,"No",5.48,"Ind.",0.795,0.682,0.636,0.38599998,0.432,2657.8,3805,2930,4681,60.4,24.38,485,694,0.000962122,38.109844,30.666666,30.297325
"1207","EVOS 15 Year retrospective","Port Graham_2003","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","111000000","Chum Salmon",47,65,111,153.5,"No",5.33,"Ind.",0.7446808,0.5319149,0.5319149,0.38297874,0.40425533,3405.87,4710.2456,3459.3606,5961.131,72.46532,30.140442,639,883.7234,0.06463415,50.29792,40.474308,37.4559
"1208","Alaska LNG","Port Graham_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","111000000","Chum Salmon",41,58,105,148.5,"Yes",5.476,"Ind.",0.65900004,0.439,0.366,0.439,0.317,1790.7,2596.4,1790.7,3671.3096,44.8,17.480173,327,474.2,0.08,32.986515,26.543966,21.722826
"1209","English Bay/Port Graham 1987","Port Graham_1987","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","112000000","Coho Salmon",54,63,155,180.8,"No",5.5,"Ind.",0.889,0.685,0.667,0.426,0.407,5725.5,6680,5741,7619,106.028,36.94,1041,1215,0.0016143455,51.63756,41.552303,45.905792
"1210","Lower Cook Inlet 1989","Port Graham_1989","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","112000000","Coho Salmon",48,61,127,161.4,"No",5.3,"Ind.",0.72900003,0.667,0.64599997,0.271,0.271,1939.8,2465,2007,2923,40.413,15.27,366,465,0.0012494298,26.030478,20.946503,18.976217
"1211","Gulf of Alaska 1990","Port Graham_1990","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","112000000","Coho Salmon",46,55,137,163.8,"No",5.3,"Ind.",0.935,0.65199995,0.63,0.5,0.413,5146.3,6153,5135,7171,111.876,37.56,971,1161,0.0017556425,49.92115,40.171124,46.676277
"1212","MMSII 1991","Port Graham_1991","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","112000000","Coho Salmon",49,58,136,161,"No",4.95,"Ind.",0.98,0.77599996,0.77599996,0.592,0.592,6538.95,7740,6478,9002,133.448,48.08,1321,1564,0.0017117455,60.96899,49.061226,59.74961
"1213","MMSII 1992","Port Graham_1992","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","112000000","Coho Salmon",48,58,138,166.8,"No",4.9,"Ind.",0.97900003,0.85400003,0.792,0.708,0.625,4841.2,5850,5158,6542,100.858,35.08,988,1194,0.0012864211,44.52947,35.832485,43.59435
"1214","MMSII 1993","Port Graham_1993","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","112000000","Coho Salmon",51,61,146,173.6,"No",4.5,"Ind.",0.88199997,0.686,0.667,0.549,0.569,3676.5,4397,3742,5052,72.088,25.18,817,977,0.0011861663,35.47789,28.548754,31.291496
"1215","EVOSTC Gulf of Alaska 1997","Port Graham_1997","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","112000000","Coho Salmon",44,63,109,156.1,"No",5.78,"Ind.",0.977,0.795,0.773,0.568,0.568,4652.9,6662,5374,7950,105.75,42.69,805,1153,0.0016845353,54.300297,43.694984,53.051388
"1216","EVOS 15 Year retrospective","Port Graham_2003","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","112000000","Coho Salmon",47,65,111,153.5,"No",6.2,"Ind.",0.89361703,0.65957445,0.63829786,0.63829786,0.5319149,3717.9,5141.7764,4258.438,6025.115,79.104256,32.90177,729,1008.19147,0.070555635,45.754986,36.818645,40.887436
"1217","Alaska LNG","Port Graham_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","112000000","Coho Salmon",41,58,105,148.5,"Yes",4.605,"Ind.",0.878,0.585,0.512,0.537,0.415,1183.5,1713.8,1285.3501,2142.25,29.5,11.537717,257,372.2,0.053000003,16.32946,13.140178,14.338063
"1218","English Bay/Port Graham 1987","Port Graham_1987","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chinook Salmon","113000000","Chinook Salmon",54,63,155,180.8,"No",16.2,"Ind.",0.759,0.463,0.463,0.407,0.16700001,1166.4,1361,1085,1637,21.6,7.53,72,84,0.0003289108,12.328885,9.920949,9.357624
"1219","Lower Cook Inlet 1989","Port Graham_1989","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chinook Salmon","113000000","Chinook Salmon",48,61,127,161.4,"No",10.2,"Ind.",0.354,0.146,0.063,0.313,0.103999995,520.2,661,142,1180,10.837,4.1,51,65,0.0003350398,14.392995,11.58192,5.0951204
